code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
bug_Latn,0.0097,0.0019,0.0097
tik_Latn,0.0,0.0,0.0
akh_Latn,0.0,0.0,0.0
esi_Latn,0.0097,0.0082,0.0097
kje_Latn,0.0194,0.0085,0.0194
arz_Arab,0.0194,0.0039,0.0194
mug_Latn,0.0194,0.0066,0.0194
syb_Latn,0.0097,0.0023,0.0097
mvp_Latn,0.0291,0.0101,0.0291
bjk_Latn,0.0194,0.005,0.0194
ksp_Latn,0.0097,0.0043,0.0097
kpg_Latn,0.0097,0.0043,0.0097
ojs_Cans,0.0097,0.0012,0.0097
atd_Latn,0.0194,0.0043,0.0194
nbc_Latn,0.0097,0.0023,0.0097
agm_Latn,0.0,0.0,0.0
mhr_Cyrl,0.0097,0.005,0.0097
kew_Latn,0.0097,0.0004,0.0097
sey_Latn,0.0,0.0,0.0
srp_Cyrl,0.7184,0.36,0.7184
myb_Latn,0.0097,0.0008,0.0097
ndz_Latn,0.0,0.0,0.0
nfr_Latn,0.0097,0.0078,0.0097
apu_Latn,0.0,0.0,0.0
hin_Latn,0.2136,0.0652,0.2136
kpv_Cyrl,0.0097,0.0023,0.0097
cta_Latn,0.0097,0.0004,0.0097
afr_Latn,0.8544,0.468,0.8544
qub_Latn,0.0097,0.0019,0.0097
kbq_Latn,0.0097,0.0004,0.0097
xon_Latn,0.0097,0.0035,0.0097
crx_Latn,0.0097,0.0004,0.0097
poy_Latn,0.0194,0.0074,0.0194
enm_Latn,0.3592,0.2734,0.3592
caq_Latn,0.0097,0.0008,0.0097
ife_Latn,0.0,0.0,0.0
chz_Latn,0.0,0.0,0.0
cop_Copt,0.0,0.0,0.0
aln_Latn,0.7864,0.3763,0.7864
huu_Latn,0.0,0.0,0.0
btx_Latn,0.0485,0.0237,0.0485
mah_Latn,0.0194,0.0066,0.0194
fon_Latn,0.0,0.0,0.0
xsu_Latn,0.0,0.0,0.0
aeb_Arab,0.0,0.0,0.0
wer_Latn,0.0,0.0,0.0
dhm_Latn,0.0388,0.0089,0.0388
tem_Latn,0.0,0.0,0.0
agn_Latn,0.0388,0.0124,0.0388
awa_Deva,0.0388,0.007,0.0388
atg_Latn,0.0097,0.0008,0.0097
whk_Latn,0.0194,0.0093,0.0194
kss_Latn,0.0,0.0,0.0
pne_Latn,0.0097,0.0066,0.0097
naw_Latn,0.0097,0.0008,0.0097
kuj_Latn,0.0097,0.0008,0.0097
eza_Latn,0.0,0.0,0.0
iri_Latn,0.0097,0.0019,0.0097
dyo_Latn,0.0194,0.0031,0.0194
tih_Latn,0.0291,0.0074,0.0291
bud_Latn,0.0097,0.0004,0.0097
guj_Gujr,0.4757,0.1903,0.4757
hay_Latn,0.0194,0.012,0.0194
tlf_Latn,0.0,0.0,0.0
eus_Latn,0.1262,0.0404,0.1262
ary_Arab,0.0097,0.0031,0.0097
mgr_Latn,0.0097,0.0023,0.0097
huv_Latn,0.0,0.0,0.0
tnn_Latn,0.0,0.0,0.0
rar_Latn,0.0097,0.0031,0.0097
aoz_Latn,0.0194,0.0128,0.0194
zae_Latn,0.0097,0.0004,0.0097
mwl_Latn,0.3204,0.1363,0.3204
mya_Mymr,0.301,0.0967,0.301
heh_Latn,0.0097,0.0054,0.0097
gso_Latn,0.0097,0.0012,0.0097
xuo_Latn,0.0,0.0,0.0
bgr_Latn,0.0097,0.0004,0.0097
ebk_Latn,0.0194,0.007,0.0194
mak_Latn,0.0097,0.0012,0.0097
yim_Latn,0.0097,0.0008,0.0097
ubr_Latn,0.0291,0.0097,0.0291
tbk_Latn,0.0097,0.0008,0.0097
got_Latn,0.0194,0.0047,0.0194
ktu_Latn,0.0291,0.0101,0.0291
tqb_Latn,0.0,0.0,0.0
car_Latn,0.0097,0.0008,0.0097
yva_Latn,0.0097,0.0004,0.0097
hot_Latn,0.0097,0.0012,0.0097
nsa_Latn,0.0097,0.0027,0.0097
kbr_Latn,0.0,0.0,0.0
mmn_Latn,0.0194,0.0016,0.0194
