code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
ttc_Latn,0.0291,0.0082,0.0291
ojb_Latn,0.0097,0.0009,0.0097
srm_Latn,0.068,0.015,0.068
wob_Latn,0.0194,0.0018,0.0194
mxq_Latn,0.0097,0.0012,0.0097
eko_Latn,0.0194,0.0074,0.0194
apy_Latn,0.0194,0.0015,0.0194
lem_Latn,0.0097,0.0021,0.0097
lus_Latn,0.0388,0.0085,0.0388
hmr_Latn,0.0291,0.0079,0.0291
kpj_Latn,0.0097,0.0009,0.0097
arp_Latn,0.0097,0.0062,0.0097
ian_Latn,0.0194,0.0018,0.0194
kud_Latn,0.0097,0.0009,0.0097
tcz_Latn,0.0194,0.0065,0.0194
miq_Latn,0.0291,0.0141,0.0291
kaz_Cyrl,0.466,0.1809,0.466
shn_Mymr,0.0097,0.0006,0.0097
kez_Latn,0.0194,0.0024,0.0194
ake_Latn,0.0097,0.0003,0.0097
tif_Latn,0.0,0.0,0.0
tzo_Latn,0.0097,0.0059,0.0097
nhr_Latn,0.0194,0.0029,0.0194
tlh_Latn,0.0874,0.0332,0.0874
loq_Latn,0.0194,0.0024,0.0194
gaw_Latn,0.0194,0.0059,0.0194
met_Latn,0.0291,0.0062,0.0291
bss_Latn,0.0194,0.0018,0.0194
nys_Latn,0.0388,0.0079,0.0388
njz_Latn,0.0194,0.0026,0.0194
nim_Latn,0.0194,0.0062,0.0194
bbr_Latn,0.0194,0.0059,0.0194
gux_Latn,0.0291,0.0047,0.0291
nlc_Latn,0.0194,0.005,0.0194
not_Latn,0.0097,0.0041,0.0097
urb_Latn,0.0097,0.0009,0.0097
snw_Latn,0.0291,0.0071,0.0291
ajz_Latn,0.0194,0.0035,0.0194
aim_Latn,0.0194,0.0053,0.0194
rmy_Latn,0.068,0.0271,0.068
lbk_Latn,0.0583,0.0209,0.0583
kde_Latn,0.0388,0.0138,0.0388
tar_Latn,0.0097,0.0029,0.0097
aso_Latn,0.0097,0.0003,0.0097
mxp_Latn,0.0097,0.0015,0.0097
cbk_Latn,0.3301,0.1621,0.3301
dgr_Latn,0.0291,0.0026,0.0291
twu_Latn,0.0291,0.0138,0.0291
npi_Deva,0.233,0.0812,0.233
nso_Latn,0.2427,0.0871,0.2427
ivv_Latn,0.0388,0.0132,0.0388
shi_Latn,0.0194,0.0041,0.0194
ald_Latn,0.0194,0.0053,0.0194
vid_Latn,0.0485,0.0162,0.0485
nij_Latn,0.0485,0.0156,0.0485
wca_Latn,0.0097,0.0006,0.0097
mwe_Latn,0.0291,0.0062,0.0291
nld_Latn,0.9903,0.7332,0.9903
snp_Latn,0.0,0.0,0.0
mhi_Latn,0.0485,0.0168,0.0485
fuf_Latn,0.0485,0.0124,0.0485
tuk_Cyrl,0.165,0.0494,0.165
bnp_Latn,0.0388,0.0156,0.0388
swe_Latn,0.7864,0.456,0.7864
eng_Latn,1.0,1.0,1.0
tte_Latn,0.0097,0.0012,0.0097
emp_Latn,0.0097,0.0059,0.0097
quh_Latn,0.1165,0.0335,0.1165
tgl_Latn,0.4563,0.1736,0.4563
gid_Latn,0.0194,0.0085,0.0194
oym_Latn,0.0194,0.0015,0.0194
kal_Latn,0.0291,0.0053,0.0291
sab_Latn,0.0194,0.0074,0.0194
agg_Latn,0.0097,0.0006,0.0097
ted_Latn,0.0,0.0,0.0
fai_Latn,0.0,0.0,0.0
vap_Latn,0.0194,0.0076,0.0194
biv_Latn,0.0194,0.0029,0.0194
tpt_Latn,0.0194,0.0038,0.0194
pkb_Latn,0.0485,0.0174,0.0485
ndp_Latn,0.0194,0.0059,0.0194
lsm_Latn,0.0485,0.0153,0.0485
ses_Latn,0.0291,0.0079,0.0291
yap_Latn,0.0291,0.0103,0.0291
gnb_Latn,0.0194,0.0041,0.0194
cut_Latn,0.0194,0.0068,0.0194
iqw_Latn,0.0388,0.0103,0.0388
klv_Latn,0.0097,0.0029,0.0097
bum_Latn,0.0388,0.0132,0.0388
qxr_Latn,0.0583,0.0221,0.0583
akb_Latn,0.0874,0.0262,0.0874
nnl_Latn,0.0194,0.0065,0.0194
bfd_Latn,0.0097,0.0006,0.0097
tzh_Latn,0.0291,0.0109,0.0291
pbi_Latn,0.0194,0.0065,0.0194
nhu_Latn,0.0097,0.0018,0.0097
kyf_Latn,0.0097,0.0029,0.0097
sja_Latn,0.0194,0.0071,0.0194
zpm_Latn,0.0291,0.0071,0.0291
kix_Latn,0.0194,0.0026,0.0194
mbt_Latn,0.0194,0.0068,0.0194
bts_Latn,0.0291,0.0121,0.0291
urd_Latn,0.2816,0.093,0.2816
cnh_Latn,0.0194,0.0065,0.0194
azb_Latn,0.7379,0.3657,0.7379
mar_Deva,0.1748,0.0627,0.1748
bgz_Latn,0.0194,0.0071,0.0194
chq_Latn,0.0291,0.0059,0.0291
vie_Latn,0.9029,0.6125,0.9029
zam_Latn,0.0194,0.0032,0.0194
nyu_Latn,0.0777,0.0241,0.0777
kru_Deva,0.0291,0.0074,0.0291
