code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
lew_Latn,0.0291,0.01,0.0291
mle_Latn,0.0097,0.0006,0.0097
pmf_Latn,0.0485,0.0109,0.0485
tpi_Latn,0.1942,0.06,0.1942
cui_Latn,0.0388,0.0071,0.0388
abt_Latn,0.0194,0.005,0.0194
yam_Latn,0.0194,0.0006,0.0194
qxo_Latn,0.0388,0.0106,0.0388
amh_Ethi,0.0291,0.0035,0.0291
nmf_Latn,0.0194,0.0059,0.0194
djr_Latn,0.0,0.0,0.0
cok_Latn,0.0194,0.0021,0.0194
nnq_Latn,0.0291,0.0076,0.0291
szb_Latn,0.0291,0.0082,0.0291
bcw_Latn,0.0194,0.0015,0.0194
amf_Latn,0.0291,0.0068,0.0291
tir_Ethi,0.0097,0.0012,0.0097
mfy_Latn,0.0388,0.0097,0.0388
men_Latn,0.0291,0.0059,0.0291
gam_Latn,0.0194,0.0026,0.0194
hub_Latn,0.0291,0.0115,0.0291
aly_Latn,0.0291,0.0097,0.0291
khz_Latn,0.0291,0.0091,0.0291
aon_Latn,0.0194,0.0076,0.0194
ewo_Latn,0.0388,0.0177,0.0388
jra_Latn,0.0194,0.0071,0.0194
rro_Latn,0.0388,0.0121,0.0388
mto_Latn,0.0291,0.0068,0.0291
pfe_Latn,0.0291,0.0056,0.0291
gub_Latn,0.0097,0.0003,0.0097
pck_Latn,0.0485,0.0174,0.0485
xsb_Latn,0.0583,0.0212,0.0583
cnt_Latn,0.0291,0.005,0.0291
mbh_Latn,0.0194,0.005,0.0194
gfk_Latn,0.0291,0.0121,0.0291
lhm_Latn,0.0097,0.0006,0.0097
rmc_Latn,0.0388,0.0144,0.0388
apb_Latn,0.0291,0.0106,0.0291
kqo_Latn,0.0097,0.0012,0.0097
san_Deva,0.2524,0.0877,0.2524
pon_Latn,0.0194,0.0038,0.0194
caf_Latn,0.0291,0.0079,0.0291
kaq_Latn,0.0388,0.0094,0.0388
gjn_Latn,0.0291,0.0038,0.0291
nsu_Latn,0.0194,0.0076,0.0194
aer_Latn,0.0291,0.0082,0.0291
gwi_Latn,0.0291,0.0106,0.0291
bem_Latn,0.0485,0.0227,0.0485
ikk_Latn,0.0485,0.0141,0.0485
dif_Latn,0.0291,0.0127,0.0291
ahk_Latn,0.0,0.0,0.0
bus_Latn,0.0291,0.0071,0.0291
qxl_Latn,0.0388,0.0132,0.0388
bvd_Latn,0.0291,0.0076,0.0291
soq_Latn,0.0194,0.0053,0.0194
hye_Armn,0.5049,0.1801,0.5049
pri_Latn,0.0291,0.0076,0.0291
tof_Latn,0.0388,0.0047,0.0388
pwg_Latn,0.0291,0.0103,0.0291
bsj_Latn,0.0097,0.0068,0.0097
ptp_Latn,0.0194,0.0044,0.0194
ame_Latn,0.0097,0.0059,0.0097
khm_Khmr,0.0874,0.0135,0.0874
ksd_Latn,0.0485,0.0197,0.0485
ign_Latn,0.0291,0.0088,0.0291
nri_Latn,0.0291,0.0079,0.0291
yan_Latn,0.0388,0.0109,0.0388
yby_Latn,0.0,0.0,0.0
ntp_Latn,0.0194,0.0038,0.0194
tcc_Latn,0.0291,0.0094,0.0291
lcm_Latn,0.0291,0.0091,0.0291
mih_Latn,0.0194,0.0076,0.0194
sus_Latn,0.0194,0.0059,0.0194
mza_Latn,0.0291,0.0085,0.0291
kvj_Latn,0.0194,0.0047,0.0194
ach_Latn,0.0291,0.0115,0.0291
ctu_Latn,0.0291,0.0082,0.0291
kgk_Latn,0.0291,0.0097,0.0291
sbk_Latn,0.0388,0.0141,0.0388
giz_Latn,0.0388,0.0094,0.0388
qva_Latn,0.0388,0.0141,0.0388
cbr_Latn,0.0194,0.0091,0.0194
nch_Latn,0.0388,0.0115,0.0388
yua_Latn,0.0388,0.0141,0.0388
hlt_Latn,0.0194,0.0074,0.0194
zar_Latn,0.0194,0.0047,0.0194
aom_Latn,0.0194,0.0062,0.0194
bru_Latn,0.0194,0.0024,0.0194
