code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
moc_Latn,0.0583,0.0097,0.0583
lef_Latn,0.0583,0.0112,0.0583
heb_Hebr,0.7864,0.2465,0.7864
mlt_Latn,0.8641,0.1912,0.8641
atb_Latn,0.0485,0.006,0.0485
nbe_Latn,0.068,0.0172,0.068
hnn_Latn,0.3107,0.0635,0.3107
ssx_Latn,0.0,0.0,0.0
mam_Latn,0.068,0.0082,0.068
bgt_Latn,0.068,0.0164,0.068
gup_Latn,0.0874,0.0149,0.0874
bam_Latn,0.7961,0.1546,0.7961
zac_Latn,0.068,0.0134,0.068
yor_Latn,0.9029,0.1516,0.9029
yle_Latn,0.0097,0.0022,0.0097
dts_Latn,0.0485,0.006,0.0485
qug_Latn,0.4272,0.062,0.4272
lgm_Latn,0.3689,0.0814,0.3689
tdt_Latn,0.068,0.0172,0.068
kac_Latn,0.5728,0.0836,0.5728
bkq_Latn,0.0485,0.0127,0.0485
krj_Latn,0.6408,0.1202,0.6408
cat_Latn,0.9903,0.4578,0.9903
cbc_Latn,0.0291,0.0052,0.0291
myv_Cyrl,0.0583,0.0134,0.0583
dgz_Latn,0.0485,0.0052,0.0485
bmh_Latn,0.0194,0.0082,0.0194
asg_Latn,0.0388,0.009,0.0388
ven_Latn,0.7087,0.1195,0.7087
kwd_Latn,0.0485,0.0105,0.0485
gor_Latn,0.0583,0.0164,0.0583
lat_Latn,0.9515,0.351,0.9515
gle_Latn,0.9709,0.3398,0.9709
ctd_Latn,0.1165,0.0246,0.1165
rmq_Latn,0.3204,0.0747,0.3204
miy_Latn,0.0583,0.0067,0.0583
blw_Latn,0.0485,0.0105,0.0485
ghe_Deva,0.2136,0.0291,0.2136
naq_Latn,0.0583,0.009,0.0583
ata_Latn,0.0291,0.0052,0.0291
dar_Cyrl,0.0097,0.0015,0.0097
ziw_Latn,0.3398,0.0702,0.3398
kck_Latn,0.534,0.1075,0.534
kxm_Thai,0.0194,0.0022,0.0194
itv_Latn,0.2039,0.0306,0.2039
cpu_Latn,0.0874,0.0157,0.0874
lee_Latn,0.0388,0.009,0.0388
nxd_Latn,0.1359,0.0246,0.1359
wro_Latn,0.0971,0.0202,0.0971
mfk_Latn,0.0583,0.0112,0.0583
kiw_Latn,0.0388,0.0045,0.0388
hto_Latn,0.0291,0.003,0.0291
cmn_Hani,0.9612,0.2763,0.9612
zul_Latn,0.9806,0.301,0.9806
wwa_Latn,0.0291,0.0037,0.0291
dyi_Latn,0.0583,0.0067,0.0583
hrv_Latn,1.0,0.4332,1.0
bre_Latn,0.1068,0.0232,0.1068
lmp_Latn,0.0291,0.0037,0.0291
alj_Latn,0.1262,0.0232,0.1262
nzm_Latn,0.0388,0.009,0.0388
bel_Cyrl,1.0,0.4832,1.0
zab_Latn,0.0583,0.0142,0.0583
kxw_Latn,0.0583,0.0105,0.0583
gvf_Latn,0.0485,0.0037,0.0485
guq_Latn,0.0291,0.0112,0.0291
izz_Latn,0.1553,0.0209,0.1553
kmg_Latn,0.068,0.0105,0.068
ubu_Latn,0.0194,0.0037,0.0194
mal_Latn,0.0097,0.0007,0.0097
agx_Cyrl,0.0485,0.009,0.0485
jni_Latn,0.068,0.0119,0.068
kdl_Latn,0.0485,0.0127,0.0485
nep_Deva,0.9029,0.2338,0.9029
tbl_Latn,0.0388,0.009,0.0388
taj_Deva,0.0874,0.0097,0.0874
fuh_Latn,0.6311,0.1113,0.6311
swk_Latn,0.6699,0.1509,0.6699
ifa_Latn,0.068,0.0179,0.068
bhg_Latn,0.068,0.0119,0.068
lgl_Latn,0.0583,0.0127,0.0583
quf_Latn,0.4272,0.0665,0.4272
kab_Latn,0.7282,0.1255,0.7282
uig_Cyrl,0.7282,0.1098,0.7282
ria_Latn,0.0583,0.006,0.0583
moa_Latn,0.0388,0.0037,0.0388
des_Latn,0.0388,0.0052,0.0388
tpz_Latn,0.0194,0.0052,0.0194
suc_Latn,0.0485,0.0134,0.0485
wnu_Latn,0.0485,0.0075,0.0485
boa_Latn,0.0097,0.0007,0.0097
kbd_Cyrl,0.0,0.0,0.0
tcs_Latn,0.0971,0.0187,0.0971
slv_Latn,0.9709,0.3652,0.9709
mcd_Latn,0.0194,0.0022,0.0194
lia_Latn,0.0194,0.003,0.0194
nnb_Latn,0.4175,0.0605,0.4175
pap_Latn,0.9417,0.2957,0.9417
mpm_Latn,0.0583,0.0082,0.0583
