code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
cpa_Latn,0.0583,0.0084,0.0583
far_Latn,0.0583,0.0157,0.0583
lom_Latn,0.0097,0.004,0.0097
toc_Latn,0.0777,0.007,0.0777
zpv_Latn,0.0485,0.0144,0.0485
sim_Latn,0.0291,0.0074,0.0291
ptu_Latn,0.0485,0.0141,0.0485
mva_Latn,0.0194,0.0097,0.0194
war_Latn,0.068,0.0275,0.068
hak_Latn,0.0097,0.001,0.0097
nnw_Latn,0.0194,0.005,0.0194
usa_Latn,0.0097,0.0007,0.0097
upv_Latn,0.0291,0.008,0.0291
mpx_Latn,0.0194,0.0057,0.0194
epo_Latn,0.2524,0.1138,0.2524
lit_Latn,0.3592,0.1219,0.3592
mcq_Latn,0.0194,0.0023,0.0194
sot_Latn,0.0388,0.0234,0.0388
gde_Latn,0.0291,0.0097,0.0291
kmr_Latn,0.0291,0.0084,0.0291
kir_Cyrl,0.0388,0.0107,0.0388
kne_Latn,0.0485,0.0201,0.0485
mdy_Ethi,0.0,0.0,0.0
ayo_Latn,0.0291,0.0057,0.0291
gvs_Latn,0.0291,0.0087,0.0291
gud_Latn,0.0097,0.0003,0.0097
pcm_Latn,0.3107,0.1379,0.3107
cme_Latn,0.0485,0.0121,0.0485
niq_Latn,0.0583,0.0131,0.0583
chk_Latn,0.0194,0.0107,0.0194
mti_Latn,0.0291,0.0094,0.0291
zaw_Latn,0.0485,0.0157,0.0485
nyo_Latn,0.0388,0.0137,0.0388
mnk_Latn,0.0388,0.0057,0.0388
srp_Latn,0.7573,0.3207,0.7573
twi_Latn,0.0485,0.0194,0.0485
gya_Latn,0.0485,0.0134,0.0485
poh_Latn,0.0388,0.0161,0.0388
pes_Arab,0.4563,0.1835,0.4563
isd_Latn,0.0388,0.0181,0.0388
gof_Latn,0.0097,0.0027,0.0097
hin_Deva,0.8155,0.3247,0.8155
tby_Latn,0.0485,0.0117,0.0485
ctp_Latn,0.0291,0.008,0.0291
uvl_Latn,0.0291,0.005,0.0291
uig_Arab,0.0097,0.002,0.0097
zpu_Latn,0.0485,0.0154,0.0485
gah_Latn,0.0194,0.0044,0.0194
hra_Latn,0.0583,0.0157,0.0583
mcr_Latn,0.0194,0.006,0.0194
tiy_Latn,0.0291,0.0094,0.0291
cly_Latn,0.0291,0.0121,0.0291
bak_Cyrl,0.0194,0.0037,0.0194
con_Latn,0.0485,0.0144,0.0485
lif_Deva,0.0097,0.0017,0.0097
wnc_Latn,0.0388,0.0037,0.0388
min_Latn,0.165,0.0442,0.165
cul_Latn,0.0291,0.0047,0.0291
ron_Latn,0.6602,0.2889,0.6602
adh_Latn,0.0485,0.0154,0.0485
cpb_Latn,0.0485,0.0157,0.0485
ita_Latn,0.9709,0.606,0.9709
nbq_Latn,0.0194,0.0077,0.0194
naf_Latn,0.0097,0.005,0.0097
ksb_Latn,0.0291,0.0137,0.0291
cbt_Latn,0.0194,0.0033,0.0194
cac_Latn,0.0583,0.0154,0.0583
qup_Latn,0.0485,0.0127,0.0485
kbc_Latn,0.0388,0.0127,0.0388
tbz_Latn,0.0194,0.002,0.0194
acn_Latn,0.0291,0.0084,0.0291
lac_Latn,0.0485,0.0127,0.0485
pir_Latn,0.0388,0.0077,0.0388
gug_Latn,0.0388,0.0181,0.0388
knf_Latn,0.0097,0.0027,0.0097
maz_Latn,0.0388,0.0104,0.0388
jam_Latn,0.1165,0.0408,0.1165
zat_Latn,0.0583,0.0204,0.0583
mtj_Latn,0.0485,0.0137,0.0485
tyv_Cyrl,0.0485,0.0127,0.0485
pag_Latn,0.068,0.0308,0.068
msm_Latn,0.0388,0.0151,0.0388
gdg_Latn,0.0583,0.0204,0.0583
otn_Latn,0.0291,0.009,0.0291
kia_Latn,0.0291,0.0124,0.0291
zpt_Latn,0.0777,0.0204,0.0777
yml_Latn,0.0194,0.0094,0.0194
gai_Latn,0.0291,0.008,0.0291
mej_Latn,0.0485,0.0141,0.0485
inb_Latn,0.0388,0.0137,0.0388
wap_Latn,0.0874,0.0131,0.0874
tuc_Latn,0.0388,0.0094,0.0388
zia_Latn,0.0291,0.0097,0.0291
ksc_Latn,0.0388,0.0204,0.0388
ded_Latn,0.0291,0.0057,0.0291
fry_Latn,0.1845,0.0653,0.1845
adi_Latn,0.0291,0.0087,0.0291
cpc_Latn,0.0485,0.0177,0.0485
mio_Latn,0.0388,0.0104,0.0388
iry_Latn,0.0388,0.01,0.0388
roo_Latn,0.0388,0.005,0.0388
ndi_Latn,0.0194,0.0047,0.0194
arn_Latn,0.0485,0.009,0.0485
ces_Latn,0.7184,0.301,0.7184
tsz_Latn,0.0388,0.0124,0.0388
bov_Latn,0.0291,0.0127,0.0291
tpm_Latn,0.0388,0.0117,0.0388
old_Latn,0.0291,0.0117,0.0291
pis_Latn,0.068,0.0228,0.068
sgb_Latn,0.0583,0.0174,0.0583
cwe_Latn,0.0388,0.0131,0.0388
dwr_Latn,0.0097,0.0033,0.0097
sbl_Latn,0.0388,0.0054,0.0388
emi_Latn,0.0388,0.0144,0.0388
cbu_Latn,0.0291,0.0057,0.0291
bhp_Latn,0.068,0.0177,0.068
cab_Latn,0.0388,0.007,0.0388
sxn_Latn,0.0485,0.011,0.0485
shp_Latn,0.0485,0.0174,0.0485
kki_Latn,0.0388,0.0124,0.0388
kng_Latn,0.0388,0.0114,0.0388
eve_Cyrl,0.0485,0.0074,0.0485
lhi_Latn,0.0097,0.0003,0.0097
mbl_Latn,0.0097,0.0027,0.0097
lif_Limb,0.0,0.0,0.0
azz_Latn,0.0777,0.0208,0.0777
aym_Latn,0.068,0.0174,0.068
ach_Latn,0.0194,0.005,0.0194
ctu_Latn,0.0485,0.0117,0.0485
kgk_Latn,0.0291,0.0077,0.0291
sbk_Latn,0.0194,0.0117,0.0194
giz_Latn,0.0388,0.0131,0.0388
qva_Latn,0.0874,0.0147,0.0874
cbr_Latn,0.0388,0.0104,0.0388
hlt_Latn,0.0291,0.0097,0.0291
nch_Latn,0.0388,0.011,0.0388
yua_Latn,0.0388,0.0161,0.0388
zar_Latn,0.0388,0.0121,0.0388
aom_Latn,0.0291,0.0137,0.0291
bru_Latn,0.0097,0.0013,0.0097
khy_Latn,0.0194,0.009,0.0194
alz_Latn,0.0291,0.011,0.0291
snn_Latn,0.0485,0.0087,0.0485
cnw_Latn,0.0388,0.0151,0.0388
mqb_Latn,0.0194,0.007,0.0194
gwi_Latn,0.0485,0.0171,0.0485
bem_Latn,0.0388,0.0137,0.0388
ikk_Latn,0.0388,0.0147,0.0388
dif_Latn,0.0485,0.0174,0.0485
ahk_Latn,0.0,0.0,0.0
bus_Latn,0.0291,0.007,0.0291
qxl_Latn,0.0485,0.0124,0.0485
soq_Latn,0.0388,0.0181,0.0388
bvd_Latn,0.0388,0.0104,0.0388
hye_Armn,0.2718,0.0703,0.2718
pri_Latn,0.0388,0.004,0.0388
tof_Latn,0.0291,0.0064,0.0291
pwg_Latn,0.0485,0.0084,0.0485
bsj_Latn,0.0388,0.0137,0.0388
ame_Latn,0.0291,0.0124,0.0291
ptp_Latn,0.0194,0.008,0.0194
khm_Khmr,0.0971,0.01,0.0971
ksd_Latn,0.0485,0.0231,0.0485
ign_Latn,0.0388,0.0114,0.0388
nri_Latn,0.0291,0.0107,0.0291
yan_Latn,0.0291,0.0157,0.0291
yby_Latn,0.0194,0.0037,0.0194
ntp_Latn,0.0194,0.0074,0.0194
lcm_Latn,0.0388,0.0097,0.0388
