code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
nij_Latn,0.0291,0.0164,0.0291
vid_Latn,0.0097,0.0022,0.0097
wca_Latn,0.0,0.0,0.0
emp_Latn,0.0,0.0,0.0
tte_Latn,0.0,0.0,0.0
eng_Latn,1.0,1.0,1.0
oym_Latn,0.0,0.0,0.0
sab_Latn,0.0097,0.0045,0.0097
kal_Latn,0.0194,0.0067,0.0194
quh_Latn,0.0194,0.0082,0.0194
tgl_Latn,0.4272,0.1949,0.4272
gid_Latn,0.0097,0.0022,0.0097
mhi_Latn,0.0194,0.0082,0.0194
tuk_Cyrl,0.0388,0.0082,0.0388
swe_Latn,0.6602,0.4078,0.6602
bnp_Latn,0.0194,0.0082,0.0194
fuf_Latn,0.0,0.0,0.0
bci_Latn,0.0291,0.0105,0.0291
imo_Latn,0.0,0.0,0.0
dob_Latn,0.0,0.0,0.0
waj_Latn,0.0,0.0,0.0
nno_Latn,0.466,0.2532,0.466
jvn_Latn,0.0777,0.0269,0.0777
aii_Syrc,0.0,0.0,0.0
sun_Latn,0.0971,0.0351,0.0971
myk_Latn,0.0,0.0,0.0
nds_Latn,0.0291,0.0179,0.0291
prs_Arab,0.4951,0.2509,0.4951
ssw_Latn,0.0097,0.0015,0.0097
biu_Latn,0.0097,0.0007,0.0097
pmx_Latn,0.0194,0.0045,0.0194
agd_Latn,0.0,0.0,0.0
tgo_Latn,0.0097,0.0007,0.0097
kao_Latn,0.0097,0.003,0.0097
crq_Latn,0.0,0.0,0.0
cax_Latn,0.0097,0.0067,0.0097
yrk_Cyrl,0.0194,0.0097,0.0194
ncu_Latn,0.0,0.0,0.0
plg_Latn,0.0,0.0,0.0
hig_Latn,0.0,0.0,0.0
stq_Latn,0.0291,0.0172,0.0291
mxt_Latn,0.0097,0.0067,0.0097
tav_Latn,0.0,0.0,0.0
acu_Latn,0.0,0.0,0.0
cth_Latn,0.0194,0.0097,0.0194
maa_Latn,0.0097,0.0045,0.0097
dks_Latn,0.0194,0.0052,0.0194
nop_Latn,0.0,0.0,0.0
nlg_Latn,0.0291,0.0194,0.0291
nii_Latn,0.0,0.0,0.0
zao_Latn,0.0,0.0,0.0
jav_Latn,0.1359,0.0665,0.1359
shj_Latn,0.0097,0.003,0.0097
som_Latn,0.0971,0.0493,0.0971
cot_Latn,0.0,0.0,0.0
beq_Latn,0.0291,0.0075,0.0291
xrb_Latn,0.0,0.0,0.0
ikw_Latn,0.0,0.0,0.0
ckt_Cyrl,0.0,0.0,0.0
tzj_Latn,0.0,0.0,0.0
nhw_Latn,0.0097,0.0015,0.0097
bch_Latn,0.0194,0.0105,0.0194
ann_Latn,0.0097,0.0037,0.0097
meq_Latn,0.0,0.0,0.0
kiz_Latn,0.0291,0.0224,0.0291
zpo_Latn,0.0194,0.0045,0.0194
crm_Cans,0.0097,0.0015,0.0097
jic_Latn,0.0,0.0,0.0
rim_Latn,0.0097,0.0075,0.0097
gkn_Latn,0.0,0.0,0.0
cso_Latn,0.0,0.0,0.0
leh_Latn,0.0194,0.0037,0.0194
var_Latn,0.0,0.0,0.0
spa_Latn,0.6602,0.4167,0.6602
kua_Latn,0.0388,0.0119,0.0388
blz_Latn,0.0194,0.0112,0.0194
bom_Latn,0.0097,0.0022,0.0097
mjc_Latn,0.0097,0.0052,0.0097
mit_Latn,0.0097,0.0037,0.0097
ckb_Arab,0.0097,0.0022,0.0097
taw_Latn,0.0,0.0,0.0
nus_Latn,0.0,0.0,0.0
ffm_Latn,0.0097,0.0007,0.0097
stp_Latn,0.0097,0.0007,0.0097
hif_Latn,0.0194,0.0075,0.0194
swg_Latn,0.1165,0.056,0.1165
dan_Latn,0.9126,0.6102,0.9126
uzb_Cyrl,0.0097,0.0015,0.0097
sri_Latn,0.0097,0.0022,0.0097
nct_Latn,0.0291,0.0075,0.0291
kqp_Latn,0.0097,0.003,0.0097
sgw_Ethi,0.0194,0.0045,0.0194
kan_Latn,0.0,0.0,0.0
shk_Latn,0.0,0.0,0.0
chr_Latn,0.0194,0.0134,0.0194
mtp_Latn,0.0,0.0,0.0
mri_Latn,0.0097,0.0015,0.0097
sme_Latn,0.0194,0.0052,0.0194
kmk_Latn,0.0291,0.0112,0.0291
tbg_Latn,0.0,0.0,0.0
kgp_Latn,0.0,0.0,0.0
mhl_Latn,0.0097,0.0045,0.0097
