code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
dje_Latn,0.1553,0.0329,0.1553
usp_Latn,0.1068,0.0239,0.1068
dhm_Latn,0.1942,0.056,0.1942
wer_Latn,0.0291,0.0037,0.0291
xsu_Latn,0.0194,0.003,0.0194
aeb_Arab,0.3495,0.065,0.3495
mah_Latn,0.165,0.0411,0.165
fon_Latn,0.0485,0.0127,0.0485
btx_Latn,0.3107,0.0963,0.3107
aln_Latn,0.9806,0.6878,0.9806
huu_Latn,0.0971,0.009,0.0971
cop_Copt,0.0097,0.0007,0.0097
chz_Latn,0.1165,0.0119,0.1165
ife_Latn,0.0485,0.006,0.0485
poy_Latn,0.233,0.0724,0.233
caq_Latn,0.0388,0.0105,0.0388
enm_Latn,0.7961,0.5176,0.7961
crx_Latn,0.0874,0.0112,0.0874
xon_Latn,0.1068,0.0254,0.1068
qub_Latn,0.0874,0.0179,0.0874
kbq_Latn,0.0485,0.009,0.0485
afr_Latn,1.0,0.814,1.0
cta_Latn,0.0485,0.006,0.0485
kpv_Cyrl,0.1068,0.0299,0.1068
apu_Latn,0.0291,0.003,0.0291
hin_Latn,0.0291,0.0105,0.0291
nfr_Latn,0.0971,0.0269,0.0971
kpf_Latn,0.1165,0.0202,0.1165
teo_Latn,0.1359,0.0448,0.1359
mkd_Cyrl,0.9612,0.7132,0.9612
crh_Cyrl,0.699,0.2681,0.699
aau_Latn,0.1068,0.0112,0.1068
irk_Latn,0.1165,0.0179,0.1165
pbb_Latn,0.068,0.0112,0.068
bfo_Latn,0.0388,0.0105,0.0388
dis_Latn,0.0971,0.0172,0.0971
bex_Latn,0.0874,0.0105,0.0874
nng_Latn,0.0485,0.0045,0.0485
mca_Latn,0.1456,0.0149,0.1456
lid_Latn,0.0874,0.0127,0.0874
tos_Latn,0.0971,0.0082,0.0971
nki_Latn,0.1262,0.0284,0.1262
nia_Latn,0.1068,0.0194,0.1068
syc_Syrc,0.0,0.0,0.0
gej_Latn,0.1456,0.0351,0.1456
sml_Latn,0.1359,0.0157,0.1359
aia_Latn,0.0971,0.0142,0.0971
gvc_Latn,0.068,0.006,0.068
apt_Latn,0.1845,0.0284,0.1845
vut_Latn,0.068,0.0067,0.068
gla_Latn,1.0,0.6714,1.0
kdi_Latn,0.1456,0.0306,0.1456
ium_Latn,0.0097,0.0007,0.0097
quc_Latn,0.0874,0.0112,0.0874
kbp_Latn,0.068,0.0134,0.068
wiv_Latn,0.1068,0.0366,0.1068
hla_Latn,0.0777,0.0164,0.0777
yut_Latn,0.0971,0.0134,0.0971
lww_Latn,0.0097,0.003,0.0097
enl_Latn,0.1165,0.0134,0.1165
cap_Latn,0.068,0.009,0.068
bku_Latn,0.0777,0.0179,0.0777
mcb_Latn,0.0194,0.006,0.0194
bvr_Latn,0.068,0.0075,0.068
esk_Latn,0.1068,0.0194,0.1068
ljp_Latn,0.5534,0.1919,0.5534
dip_Latn,0.0777,0.0246,0.0777
cjp_Latn,0.1553,0.0291,0.1553
top_Latn,0.1845,0.0217,0.1845
zsr_Latn,0.1068,0.0119,0.1068
gbo_Latn,0.0097,0.0022,0.0097
mlp_Latn,0.0388,0.0067,0.0388
ghs_Latn,0.0194,0.006,0.0194
mog_Latn,0.1942,0.0321,0.1942
qwh_Latn,0.1456,0.0246,0.1456
