code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
jmc_Latn,0.0388,0.0123,0.0388
ace_Latn,0.0388,0.0202,0.0388
isl_Latn,0.4369,0.1391,0.4369
ivb_Latn,0.0388,0.0129,0.0388
npl_Latn,0.0777,0.0307,0.0777
kbh_Latn,0.0291,0.0147,0.0291
plw_Latn,0.0583,0.0165,0.0583
snd_Arab,0.4466,0.1378,0.4466
lwo_Latn,0.0097,0.0016,0.0097
njn_Latn,0.0583,0.0165,0.0583
mwv_Latn,0.0485,0.015,0.0485
mta_Latn,0.0097,0.0031,0.0097
niy_Latn,0.0583,0.0045,0.0583
mgh_Latn,0.0291,0.0087,0.0291
fin_Latn,0.5728,0.2453,0.5728
kkc_Latn,0.0,0.0,0.0
yon_Latn,0.0291,0.0084,0.0291
maq_Latn,0.0583,0.0186,0.0583
snc_Latn,0.0291,0.0071,0.0291
smt_Latn,0.068,0.0197,0.068
mbf_Latn,0.6019,0.2915,0.6019
gul_Latn,0.6117,0.2367,0.6117
qxo_Latn,0.0874,0.0199,0.0874
amh_Ethi,0.0777,0.0163,0.0777
nmf_Latn,0.0583,0.0181,0.0583
cok_Latn,0.0583,0.0097,0.0583
nnq_Latn,0.0291,0.0089,0.0291
djr_Latn,0.0194,0.0021,0.0194
bcw_Latn,0.0194,0.0037,0.0194
szb_Latn,0.0583,0.0165,0.0583
mfy_Latn,0.0777,0.0189,0.0777
tir_Ethi,0.0194,0.001,0.0194
amf_Latn,0.0291,0.0081,0.0291
gam_Latn,0.0388,0.006,0.0388
men_Latn,0.0388,0.0102,0.0388
lew_Latn,0.0485,0.015,0.0485
iws_Latn,0.0194,0.0045,0.0194
mor_Latn,0.0097,0.0024,0.0097
mle_Latn,0.0194,0.0031,0.0194
pmf_Latn,0.0777,0.0171,0.0777
tpi_Latn,0.2136,0.0761,0.2136
cui_Latn,0.0485,0.0147,0.0485
abt_Latn,0.0194,0.0042,0.0194
yam_Latn,0.0097,0.0034,0.0097
rmc_Latn,0.0583,0.0176,0.0583
apb_Latn,0.0388,0.011,0.0388
kqo_Latn,0.0,0.0,0.0
san_Deva,0.5728,0.1761,0.5728
pon_Latn,0.0194,0.0079,0.0194
caf_Latn,0.0583,0.0142,0.0583
aer_Latn,0.0291,0.01,0.0291
nsu_Latn,0.0485,0.0181,0.0485
gjn_Latn,0.0388,0.011,0.0388
kaq_Latn,0.0388,0.0089,0.0388
khz_Latn,0.0388,0.0092,0.0388
aly_Latn,0.0485,0.0126,0.0485
hub_Latn,0.0291,0.0173,0.0291
aon_Latn,0.0388,0.0055,0.0388
ewo_Latn,0.0485,0.021,0.0485
rro_Latn,0.0291,0.0118,0.0291
jra_Latn,0.0388,0.0081,0.0388
pfe_Latn,0.0194,0.0058,0.0194
mto_Latn,0.0583,0.0113,0.0583
pck_Latn,0.068,0.022,0.068
gub_Latn,0.0097,0.0013,0.0097
cnt_Latn,0.0583,0.0129,0.0583
xsb_Latn,0.0777,0.0165,0.0777
gfk_Latn,0.0291,0.0121,0.0291
lhm_Latn,0.0,0.0,0.0
mbh_Latn,0.0291,0.0071,0.0291
zpq_Latn,0.0777,0.0186,0.0777
kjs_Latn,0.0291,0.0092,0.0291
grt_Beng,0.0291,0.0058,0.0291
cym_Latn,0.165,0.0674,0.165
uvh_Latn,0.0291,0.0089,0.0291
gqr_Latn,0.0291,0.0076,0.0291
nhi_Latn,0.0485,0.0181,0.0485
beo_Latn,0.0097,0.0005,0.0097
nnp_Latn,0.0194,0.0058,0.0194
