code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
izr_Latn,Latn,46.63,46.35,0.4012,0.0228,4
izz_Latn,Latn,68.562,68.495,0.5002,0.0377,4
jac_Latn,Latn,79.623,78.255,0.4302,0.0285,4
jae_Latn,Latn,66.77,70.13,0.528,0.0268,4
jam_Latn,Latn,42.742,41.455,0.3694,0.1302,4
jav_Latn,Latn,48.13,52.71,0.3193,0.2484,4
jbu_Latn,Latn,58.838,59.315,0.3844,0.0228,4
jic_Latn,Latn,93.715,96.26,0.4836,0.0257,4
jid_Latn,Latn,40.468,41.405,0.4005,0.032,4
jiv_Latn,Latn,61.058,64.895,0.4239,0.0126,4
jmc_Latn,Latn,52.275,53.31,0.3994,0.0508,4
jni_Latn,Latn,40.573,42.375,0.3741,0.0251,4
jra_Latn,Latn,80.075,79.93,0.5808,0.0211,4
jvn_Latn,Latn,55.508,60.515,0.3519,0.2239,4
kaa_Cyrl,Cyrl,60.715,73.9,0.4853,0.2787,4
kaa_Latn,Latn,55.375,55.3,0.4186,0.1359,4
kab_Latn,Latn,58.582,58.865,0.499,0.0639,4
kac_Latn,Latn,67.748,67.705,0.3867,0.0565,4
kal_Latn,Latn,46.457,48.595,0.3858,0.0325,4
kan_Knda,Knda,109.78,181.04,0.9332,0.3124,4
kan_Latn,Latn,79.44,84.64,0.5362,0.0177,4
kao_Latn,Latn,49.308,48.815,0.4146,0.0348,4
kaq_Latn,Latn,59.345,59.77,0.3814,0.0217,4
kat_Geor,Geor,86.442,136.865,0.8471,0.3826,4
kaz_Cyrl,Cyrl,62.523,82.265,0.4748,0.3489,4
kbc_Latn,Latn,83.888,86.165,0.4416,0.0234,4
kbd_Cyrl,Cyrl,81.93,85.75,0.6597,0.0097,4
kbh_Latn,Latn,78.397,80.965,0.4456,0.0314,4
kbm_Latn,Latn,78.718,79.785,0.3799,0.0223,4
kbp_Latn,Latn,89.47,95.41,0.7276,0.0485,4
kbq_Latn,Latn,63.245,62.84,0.4048,0.0171,4
